GRU 1,LSTM 1,LSTM 2,MLP 1,RNN 1,ARIMA,real,t
0.432047248,0.492962688,0.450472772,0.275101086,0.533256173,0.856890686,0.459991702,589
0.424134433,0.498559624,0.449639916,0.281636257,0.533960164,0.885229851,0.450879321,590
0.431322217,0.502171695,0.454718709,0.283470051,0.530672729,0.877857539,0.449810092,591
0.414877325,0.502841413,0.446706533,0.290072313,0.533310235,0.892603028,0.45614567,592
0.394794047,0.495798171,0.447306275,0.29008249,0.537111461,0.874702367,0.437011267,593
0.425068349,0.507642269,0.452726543,0.272984458,0.535081446,0.88192226,0.392821806,594
0.407677293,0.492291182,0.437084496,0.281221239,0.544655085,0.873687105,0.402668284,595
0.423299253,0.490747035,0.414510071,0.274167665,0.540833592,0.852875224,0.425122084,596
0.420956224,0.47807762,0.410283178,0.237235939,0.537276566,0.827554548,0.438814593,597
0.436980039,0.444592625,0.410592765,0.239043795,0.543080151,0.847825766,0.423462385,598
0.42689091,0.438313037,0.430391371,0.239150117,0.54399395,0.849874078,0.423941145,599
0.43163535,0.481988966,0.4324826,0.228670739,0.539177239,0.831023185,0.44211803,600
0.43096754,0.46630007,0.425909162,0.252818427,0.54288584,0.83507896,0.439963614,601
0.465884566,0.46983248,0.434975743,0.266541972,0.537925303,0.848306751,0.436165459,602
0.425994515,0.481154919,0.436783373,0.248787633,0.53978765,0.827540496,0.420190865,603
0.411012381,0.467763782,0.437043011,0.267294079,0.545511484,0.851845836,0.415259647,604
0.417421073,0.479511499,0.430244625,0.261249626,0.547757864,0.844048109,0.433803581,605
0.441418797,0.477818757,0.425392002,0.238733265,0.54877162,0.833065884,0.461220516,606
0.480141938,0.441677928,0.427931488,0.25679221,0.552204311,0.856372246,0.467572053,607
0.505198896,0.452895671,0.44852972,0.259560486,0.549650848,0.826702863,0.453512496,608
0.480605483,0.468394339,0.460731685,0.266672584,0.554246068,0.785073862,0.417717277,609
0.524529994,0.501348197,0.461533725,0.285095186,0.547805369,0.800120265,0.440729629,610
0.477193147,0.483868778,0.432412446,0.303575949,0.552917182,0.785601688,0.443793687,611
0.518213749,0.491887897,0.444041669,0.279451597,0.539959013,0.791066562,0.433245029,612
0.477035671,0.480005264,0.432981968,0.266110428,0.546477139,0.789270671,0.420302576,613
